"TICKET","SYMBOL","ACTION","LOTS","OPEN TIME","CLOSE TIME","PROFIT","COMM","SWAP","COMMENT","T/P","S/L","OPEN PRICE","CLOSE PRICE","","",""
"767886955","XAUUSDr","Buy","0.02","2025-10-09 09:42:56","2025-10-09 09:46:28","-6.36","0.0","0.0","","0.0","4027.92","4032.04","4028.86","-6.36","0","0"
"767880062","XAUUSDr","Sell","0.02","2025-10-09 08:01:41","2025-10-09 08:07:49","3.5","0.0","0.0","","4029.35","4042.51","4036.91","4035.16","3.5","0","0"
"767877819","XAUUSDr","Buy","0.02","2025-10-09 07:00:12","2025-10-09 07:36:43","18.28","0.0","0.0","","0.0","4027.21","4028.33","4037.47","18.28","0","0"
"767877279","XAUUSDr","Sell","0.02","2025-10-09 06:46:39","2025-10-09 07:00:16","-4.08","0.0","0.0","","0.0","4030.87","4026.78","4028.82","-4.08","0","0"
"767872362","XAUUSDr","Buy","0.02","2025-10-09 05:24:01","2025-10-09 06:42:45","27.04","0.0","0.0","","0.0","4013.17","4014.71","4028.23","27.04","0","0"
"767874836","XAUUSDr","Buy","0.02","2025-10-09 05:47:03","2025-10-09 06:42:35","20.32","0.0","0.0","","0.0","4013.43","4017.87","4028.03","20.32","0","0"
"767868205","XAUUSDr","Sell","0.02","2025-10-09 04:46:01","2025-10-09 04:53:56","16.78","0.0","0.0","","0.0","4028.27","4029.46","4021.07","16.78","0","0"
"767866922","XAUUSDr","Buy","0.02","2025-10-09 04:10:45","2025-10-09 04:14:46","8.58","0.0","0.0","","0.0","0.0","4015.27","4019.56","8.58","0","0"
"767866378","XAUUSDr","Sell","0.01","2025-10-09 03:58:45","2025-10-09 04:02:11","4.4","0.0","0.0","","0.0","0.0","4023.37","4018.97","4.4","0","0"
"767862424","XAUUSDr","Sell","0.15","2025-10-09 02:44:54","2025-10-09 03:15:09","-138.6","0.0","0.0","so: 16.0%/9.6/60.2","0.0","4020.43","4010.35","4019.59","-138.6","0","0"
"767862350","XAUUSDr","Buy","0.05","2025-10-09 02:41:44","2025-10-09 02:44:53","-12.15","0.0","0.0","[sl]","0.0","4010.64","4012.93","4010.5","-12.15","0","0"
"767862206","XAUUSDr","Buy","0.05","2025-10-09 02:39:24","2025-10-09 02:44:41","-23.15","0.0","0.0","[sl]","0.0","4010.92","4015.52","4010.89","-23.15","0","0"
"767862094","XAUUSDr","Buy","0.05","2025-10-09 02:35:24","2025-10-09 02:44:41","-37.45","0.0","0.0","[sl]","0.0","4010.95","4018.38","4010.89","-37.45","0","0"
"767857709","XAUUSDr","Buy","0.05","2025-10-08 23:57:52","2025-10-09 01:09:25","-118.25","0.0","0.0","[sl]","0.0","4019.66","4041.93","4018.28","-118.25","0","0"
"767857688","XAUUSDr","Sell","0.3","2025-10-08 23:55:57","2025-10-08 23:57:21","41.1","0.0","0.0","","0.0","4043.81","4042.23","4040.86","41.1","0","0"
"767857674","XAUUSDr","Sell","0.3","2025-10-08 23:55:12","2025-10-08 23:55:36","-57.3","0.0","0.0","[sl]","0.0","4042.24","4040.43","4042.34","-57.3","0","0"
"767857635","XAUUSDr","Sell","0.3","2025-10-08 23:51:14","2025-10-08 23:52:52","-4.5","0.0","0.0","","0.0","4045.53","4042.84","4042.99","-4.5","0","0"
"767857493","XAUUSDr","Buy","0.3","2025-10-08 23:41:32","2025-10-08 23:50:34","91.8","0.0","0.0","","0.0","4038.15","4040.13","4043.19","91.8","0","0"
"767857247","XAUUSDr","Buy","0.1","2025-10-08 23:25:51","2025-10-08 23:39:27","-26.9","0.0","0.0","[sl]","0.0","4038.94","4041.47","4038.78","-26.9","0","0"
"767857228","XAUUSDr","Buy","0.1","2025-10-08 23:24:15","2025-10-08 23:39:26","-46.0","0.0","0.0","[sl]","0.0","4039.1","4043.65","4039.05","-46.0","0","0"
"767857157","XAUUSDr","Buy","0.1","2025-10-08 23:18:06","2025-10-08 23:39:25","-58.9","0.0","0.0","[sl]","0.0","4039.41","4045.16","4039.27","-58.9","0","0"
"767857101","XAUUSDr","Sell","0.1","2025-10-08 23:15:07","2025-10-08 23:18:01","-31.9","0.0","0.0","","0.0","4047.32","4042.01","4045.2","-31.9","0","0"
"767856989","XAUUSDr","Buy","0.1","2025-10-08 23:08:32","2025-10-08 23:11:24","2.7","0.0","0.0","","0.0","4033.37","4040.3","4040.57","2.7","0","0"
"767856940","XAUUSDr","Buy","0.1","2025-10-08 23:07:14","2025-10-08 23:08:09","-38.5","0.0","0.0","[sl]","0.0","4040.52","4044.17","4040.32","-38.5","0","0"
"767855484","XAUUSDr","Sell","0.03","2025-10-08 22:15:08","2025-10-08 23:03:54","-13.35","0.0","0.0","","0.0","4049.8","4040.58","4045.03","-13.35","0","0"
"767855774","XAUUSDr","Sell","0.03","2025-10-08 22:25:06","2025-10-08 23:03:51","-0.78","0.0","0.0","","0.0","4050.03","4045.08","4045.34","-0.78","0","0"
"767854960","XAUUSDr","Sell","0.03","2025-10-08 22:07:46","2025-10-08 22:37:02","5.64","0.0","0.0","","0.0","4055.2","4040.64","4038.76","5.64","0","0"
"767853442","XAUUSDr","Buy","0.03","2025-10-08 21:19:43","2025-10-08 22:07:38","-16.2","0.0","0.0","","0.0","4035.84","4043.94","4038.54","-16.2","0","0"
"767854378","XAUUSDr","Buy","0.03","2025-10-08 22:00:57","2025-10-08 22:06:47","-20.73","0.0","0.0","[sl]","0.0","4045.05","4051.48","4044.57","-20.73","0","0"
"767852810","XAUUSDr","Buy","0.03","2025-10-08 21:05:41","2025-10-08 21:58:00","17.88","0.0","0.0","","0.0","4035.84","4043.99","4049.95","17.88","0","0"
"767852744","XAUUSDr","Buy","0.03","2025-10-08 21:04:57","2025-10-08 21:15:47","-23.58","0.0","0.0","[sl]","0.0","4039.49","4047.31","4039.45","-23.58","0","0"
"767851927","XAUUSDr","Buy","0.03","2025-10-08 20:40:20","2025-10-08 21:06:47","-7.71","0.0","0.0","","0.0","4042.18","4049.18","4046.61","-7.71","0","0"
"767848309","XAUUSDr","Sell","0.03","2025-10-08 19:46:43","2025-10-08 20:38:35","25.5","0.0","0.0","","0.0","4055.36","4056.01","4047.51","25.5","0","0"
"767850809","XAUUSDr","Sell","0.02","2025-10-08 20:16:54","2025-10-08 20:29:57","12.72","0.0","0.0","","0.0","4061.1","4055.66","4049.3","12.72","0","0"
"767846763","XAUUSDr","Sell","0.02","2025-10-08 19:10:52","2025-10-08 19:11:30","-9.78","0.0","0.0","[sl]","0.0","4053.78","4048.94","4053.83","-9.78","0","0"
"767845890","XAUUSDr","Sell","0.02","2025-10-08 19:03:18","2025-10-08 19:11:28","-16.36","0.0","0.0","[sl]","0.0","4052.15","4044.56","4052.74","-16.36","0","0"
"767844284","XAUUSDr","Sell","0.02","2025-10-08 18:06:01","2025-10-08 19:11:28","-14.68","0.0","0.0","[sl]","0.0","4052.73","4045.4","4052.74","-14.68","0","0"
"767843268","XAUUSDr","Buy","0.02","2025-10-08 17:48:35","2025-10-08 18:00:52","7.04","0.0","0.0","","0.0","4034.67","4044.75","4048.27","7.04","0","0"
"767838748","XAUUSDr","Buy","0.02","2025-10-08 16:44:46","2025-10-08 17:28:30","29.18","0.0","0.0","","0.0","4026.0","4029.96","4044.55","29.18","0","0"
"767838961","XAUUSDr","Buy","0.02","2025-10-08 16:47:40","2025-10-08 16:50:28","9.4","0.0","0.0","","0.0","4026.0","4030.65","4035.35","9.4","0","0"
"767837527","XAUUSDr","Buy","0.02","2025-10-08 16:40:47","2025-10-08 16:48:13","-8.9","0.0","0.0","","0.0","4026.0","4035.02","4030.57","-8.9","0","0"
"767835870","XAUUSDr","Sell","0.02","2025-10-08 16:16:53","2025-10-08 16:34:09","21.4","0.0","0.0","","0.0","4051.0","4045.92","4035.22","21.4","0","0"
"767823998","XAUUSDr","Sell","0.1","2025-10-08 12:58:57","2025-10-08 13:29:55","75.0","0.0","0.0","","3997.02","4051.05","4047.83","4040.33","75.0","0","0"
"767823718","XAUUSDr","Sell","0.1","2025-10-08 12:54:59","2025-10-08 13:03:35","-10.5","0.0","0.0","","0.0","4050.84","4046.53","4047.58","-10.5","0","0"
"767823421","XAUUSDr","Sell","0.1","2025-10-08 12:49:46","2025-10-08 12:50:57","-2.7","0.0","0.0","","0.0","4046.28","4043.74","4044.01","-2.7","0","0"
